nombre,categoria,confianza,lat,lon,macrocategoria,fecha_extraccion,poligono,fuente,momento,release_overture
Vida Natural,health_food_store,0.62,3.43399989,-76.53888576,Gastronomía y bebidas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
EVA cirugia corporal,education,0.5,3.43284,-76.53889,Educación y formación,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Honda Supercali,motorcycle_dealer,0.89,3.43290346,-76.53888826,Automotriz y transporte,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Clínica del Rayón,automotive_repair,0.92,3.43344222,-76.53892347,Automotriz y transporte,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Abra Cadabra Costumes,costume_store,0.59,3.43349238,-76.53893947,Comercio y tiendas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Movilaire,auto_company,0.78,3.433503,-76.538942,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
La Casa del Pandeyuca,bakery,0.95,3.43300664,-76.53894342,Gastronomía y bebidas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Café Color,restaurant,0.64,3.43306127,-76.53895722,Gastronomía y bebidas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Tiendas Ara Roosevelt,supermarket,0.68,3.43290895,-76.53895581,Comercio y tiendas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Domino's Pizza,pizza_restaurant,0.99,3.43318778,-76.53895947,Gastronomía y bebidas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Linea Profesional polarizados,automotive_parts_and_accessories,0.55,3.43391,-76.53894,Automotriz y transporte,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Tatiana Ordoñez Neurorehabilitación,doctor,0.45,3.4340324,-76.5389258,Salud y bienestar,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Akt Motos Outlet Sede Principal Cali - Roosevelt,motorcycle_dealer,0.66,3.43428872,-76.53896762,Automotriz y transporte,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Centro de Estetica Yaneth Valencia,spas,0.34,3.43378152,-76.53903429,Belleza y estética,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Cosmetic dentistry specialist,motorcycle_dealer,0.74,3.4331119,-76.5390355,Automotriz y transporte,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Glamour,beauty_salon,0.15,3.4335321,-76.53899569,Belleza y estética,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
La Botica,hospital,0.6,3.43360664,-76.53899502,Salud y bienestar,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Coservicio,event_planning,0.3,3.43302671,-76.53899552,Cultura y entretenimiento,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Iglesia Ministerio Maná Cali,religious_organization,0.83,3.4327612,-76.5390124,Religioso,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Centro de Enseñanza Automovilistica AAA,driving_school,0.77,3.43226889,-76.53899356,Educación y formación,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Consultorio Dental,orthodontist,0.55,3.43114752,-76.53901638,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
NaturTeck,grocery_store,0.75,3.43113024,-76.53902678,Comercio y tiendas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Panadería Paola Roosevelt,sin_categoria,0.97,3.43139822,-76.53903084,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Centro de Profesionales,naturopathic_holistic,0.66,3.43165123,-76.53904429,Salud y bienestar,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Apolo Restaurante,restaurant,0.94,3.43132879,-76.53903381,Gastronomía y bebidas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Almacen Herbalife,department_store,0.78,3.43199911,-76.53908056,Comercio y tiendas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Inciva Patrimonio Vital,public_and_government_association,0.84,3.43202,-76.53908,Comunitario e institucional,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
La Plántula,nursery_and_gardening,0.74,3.4322323,-76.5390659,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Parque El Templete,park,0.69,3.43224,-76.53907,Deporte y recreación,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Servicio Automotriz Ibarrautos,automotive_repair,0.59,3.43231,-76.53907,Automotriz y transporte,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
MOLI CAFÉ,cafe,0.59,3.43221,-76.53907,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Frisby,chicken_restaurant,0.76,3.43194679,-76.53905639,Gastronomía y bebidas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Pan árabe El Mediterráneo,bakery,0.47,3.4313638,-76.5390878,Gastronomía y bebidas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
KMO Combate Urbano,fitness_trainer,0.42,3.4330013948427,-76.539128213653,Deporte y recreación,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Grupo Consultor Empresarial NLC,professional_services,0.49,3.4344519903221,-76.539106070995,Servicios profesionales,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Bajaj Grupo UMA,motorcycle_dealer,0.77,3.4354371,-76.5390011,Automotriz y transporte,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Biblioteca Departamental Jorge Garcés Borrero,library,0.99,3.4364043655088907,-76.53904103241466,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Museo Interactivo Abrakadabra,history_museum,0.57,3.4363684366838454,-76.53899773890373,Cultura y entretenimiento,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Observatorio Astronómico del Valle,landmark_and_historical_building,0.79,3.43664,-76.539112,Cultura y entretenimiento,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Museo Departamental de Ciencias Naturales INCIVA,history_museum,0.95,3.43629296,-76.53889664,Cultura y entretenimiento,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Servicios de limpieza y mantenimiento Soluciones a Tiempo SAS,gardener,0.25,3.4347544742129266,-76.53893408297539,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Envaphar SAS,plastic_manufacturer,0.56,3.43491,-76.5389,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
CafeLupin,cafe,0.87,3.4350187,-76.5388786,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Edificio San Joaquin,landmark_and_historical_building,0.94,3.43484749,-76.53887296,Cultura y entretenimiento,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Artemisa Roosevelt,health_food_store,0.85,3.43463347,-76.53887255,Gastronomía y bebidas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Salud Total EPS Avenida Roosevelt,medical_center,0.64,3.43483225,-76.53885817,Salud y bienestar,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Tienda Grupo Uma Bajaj Roosevelt,car_dealer,0.71,3.43539374,-76.5388595,Automotriz y transporte,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
SOS Compurgencias,arcade,0.77,3.436052566666667,-76.53875376666666,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Stella Marmolejo,clothing_store,0.21,3.43574332,-76.53868659,Comercio y tiendas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Baterias Autoyankee,automotive_parts_and_accessories,0.52,3.43576167,-76.53867255,Automotriz y transporte,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Fitness24Seven,gym,1.0,3.435324,-76.538652,Deporte y recreación,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Rumbavana Club,dance_club,0.9,3.43500887,-76.53865658,Educación y formación,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Carlos Martínez Noguera,sin_categoria,0.04,3.4350731450017,-76.538701057434,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Bancolombia,atms,0.53,3.43452816,-76.53869237,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Escuela de Automovilismo JC,driving_school,0.84,3.43467787,-76.53867012,Educación y formación,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Englity English,language_school,0.52,3.43595998,-76.53858654,Educación y formación,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Barrio San Fernando,landmark_and_historical_building,0.51,3.43540537,-76.53860892,Cultura y entretenimiento,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Club Tao Cali,dance_club,0.9,3.43636168,-76.53861015,Educación y formación,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Primsalud,dentist,0.37,3.43672976,-76.53875347,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
La casa del terror,clothing_store,0.88,3.43666013,-76.53875154,Comercio y tiendas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Veterinaria Mundo Canino y Felino,veterinarian,0.81,3.43619458,-76.53835832,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Salsa Night Club,dance_club,0.81,3.43694594,-76.5383797,Educación y formación,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
El Manicero,dance_club,0.89,3.43716605,-76.53840942,Educación y formación,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
La Hora Loca Cali,event_technology_service,0.77,3.436409699999999,-76.5384818,Servicios profesionales,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
SUPER BIKE servicio técnico,motorcycle_repair,0.74,3.4355149882833,-76.53852,Automotriz y transporte,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Clases de Tango Cali,topic_concert_venue,0.56,3.4350731450017,-76.538513302803,Cultura y entretenimiento,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Muévelo Cali,dance_school,0.61,3.43515722,-76.53846609,Educación y formación,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Athenea Hospital Veterinario ,pet_services,0.87,3.4350700628494,-76.538330078125,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Vaez floristería,flowers_and_gifts_shop,0.55,3.43446992,-76.53836868,Comercio y tiendas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Santuario a la Virgen Milagrosa,church_cathedral,0.96,3.43112784,-76.53846993,Religioso,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
MaxiCarnicos SAS,butcher_shop,0.37,3.43425175,-76.53844976,Comercio y tiendas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
El Sazón de Machú,restaurant,0.45,3.43425844,-76.53844374,Gastronomía y bebidas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Apolis hostel,hostel,0.64,3.43440734,-76.53849002,Alojamiento,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Cantabile Escuela de Música,music_school,0.86,3.43333192,-76.53856943,Educación y formación,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Grace Estudios,music_production,0.77,3.43331381,-76.53858092,Educación y formación,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Restaurante Vegano Durga Mission,vegetarian_restaurant,0.56,3.43425,-76.53865,Gastronomía y bebidas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Edecanes Tiempo de vals Cali,event_planning,0.33,3.43401,-76.53867,Cultura y entretenimiento,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
La LORA licores,bar,0.61,3.43381,-76.53868,Gastronomía y bebidas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
PALATE otro nivel,burger_restaurant,0.07,3.43397,-76.53868214,Gastronomía y bebidas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
El Parche Licores,bar,0.84,3.43413827,-76.53871465,Gastronomía y bebidas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Conexion IO SAS,audio_visual_equipment_store,0.71,3.43404024,-76.53875382,Comercio y tiendas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Ariadna,spas,0.4,3.4336861,-76.53875566,Belleza y estética,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Comedica IPS,medical_center,0.66,3.43372576,-76.53874145,Salud y bienestar,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Coosalud EPS,hospital,0.59,3.43399067,-76.53873159,Salud y bienestar,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Coridem SAS ,media_news_company,0.29,3.43308,-76.53873,Servicios profesionales,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Hora de viajar,travel_services,0.45,3.43300055,-76.5387424,Cultura y entretenimiento,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Auteco Valle Motos,motorcycle_repair,0.63,3.43290085,-76.53871539,Automotriz y transporte,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Vallemotos,motorcycle_dealer,0.62,3.43284783,-76.53871777,Automotriz y transporte,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Motorlab Cali,motorcycle_repair,0.97,3.4330701,-76.53870114,Automotriz y transporte,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Grupo BrainStorming,event_planning,0.29,3.43290197,-76.5386527,Cultura y entretenimiento,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Viajamax,travel_services,0.48,3.43290272,-76.53865075,Cultura y entretenimiento,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
HONDA GRUPO SUPERMOTOS CALI PPAL. AV. ROOSEVELT,motorcycle_dealer,0.77,3.432736,-76.538701,Automotriz y transporte,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Global Service World S.A.S,business,0.26,3.43266649,-76.5386127,Servicios profesionales,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Doctor William Vega,surgeon,0.57,3.4323856,-76.5386047,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Dr William Vega Fernandez,plastic_surgeon,0.31,3.43245983,-76.53854515,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Iglesia La Milagrosa,church_cathedral,0.58,3.43093253,-76.53857946,Religioso,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
MAXI CANES,sin_categoria,0.12,3.43006865,-76.53856296,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Escuela de Artes Marciales Dragón Amarillo SEDE San Fernando,martial_arts_club,0.6,3.4297866,-76.5386062,Educación y formación,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Twin Towers Bienes Raices,event_planning,0.36,3.43025896,-76.53863463,Cultura y entretenimiento,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
CCED Training Center and Directed Education,education,0.87,3.42928295,-76.53864424,Educación y formación,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Mayami Plaza,dance_club,0.65,3.4287534083238307,-76.5386088897635,Educación y formación,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
GAMMA Exclusive Detailing,auto_restoration_services,0.34,3.42896115,-76.53859273,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Paradisex Shop Templete,adult_entertainment,0.85,3.42834908,-76.53859428,Cultura y entretenimiento,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Kasa 5ta ApartaHotel,hotel,0.68,3.42832,-76.53859,Alojamiento,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
MP Hotel,hotel,0.98,3.42781561,-76.53850925,Alojamiento,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Pro GPS Cali,automotive_services_and_repair,0.48,3.428591161843,-76.538483798504,Automotriz y transporte,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
ORVE,fashion,0.31,3.428781117330827,-76.5384772914303,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Rines gomez reparacion y pintura,damage_restoration,0.92,3.4287183,-76.5385113,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
MTX Car Audio,car_dealer,0.8,3.42857246,-76.53851493,Automotriz y transporte,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Formula 1 Tire and Rim,tire_dealer_and_repair,0.53,3.42858442,-76.53853704,Automotriz y transporte,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Clínica Veterinaria Mundo Canino y Felino,veterinarian,0.48,3.4301928,-76.53843533,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Salón de Eventos Rose's Cedro 2,event_planning,0.98,3.42816926,-76.53827659,Cultura y entretenimiento,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Hans Fotografía,professional_services,0.18,3.42820375,-76.53827482,Servicios profesionales,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Odontologia Especializada Dr. Daniel Sanchez,dentist,0.5,3.42822285,-76.53819903,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Martinez y Velasco Odontología,doctor,0.56,3.42822,-76.53818,Salud y bienestar,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Dra. Nathalia Martínez,dentist,0.77,3.4280904863872,-76.538132429123,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Auto lujos Las Vegas,automotive_dealer,0.48,3.42969012,-76.53811246,Automotriz y transporte,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
central de rines y llantas,tire_dealer_and_repair,0.85,3.42975288,-76.53813781,Automotriz y transporte,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Escuela Tecnica Gloria Mejia,cosmetology_school,0.96,3.42941268,-76.53821916,Educación y formación,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Nativos Centro de Medicina Natural ,health_and_medical,0.3,3.430151,-76.53828,Salud y bienestar,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Petmour - Mascotas Con Glamour,pet_store,0.77,3.42948402,-76.53832178,Comercio y tiendas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Iglesia La Milagrosa,catholic_church,0.61,3.43174614,-76.53831878,Religioso,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
IPC Constructores,construction_services,0.23,3.43313655,-76.53830209,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Crecerenfamilia,non_governmental_association,0.41,3.4331748736122,-76.538172125784,Comunitario e institucional,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Rentokil,pest_control_service,1.0,3.433076,-76.537997,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Renovacion Carismatica Catolica,church_cathedral,0.91,3.43438731,-76.53790437,Religioso,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Grupo SB,health_and_medical,0.81,3.43260558,-76.53799825,Salud y bienestar,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Lujos y Accesorios Juanes,automotive_parts_and_accessories,0.66,3.42997394,-76.53800071,Automotriz y transporte,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Servirines,shopping,0.89,3.43022687,-76.53800724,Comercio y tiendas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
"Afric4bellos, Centro de Identidad y Estética ",beauty_and_spa,0.45,3.429951071672,-76.53807,Belleza y estética,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Baterías Electro Car,automotive_parts_and_accessories,0.88,3.42989148,-76.53810612,Automotriz y transporte,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Marcela Terraza Cali,bar,0.91,3.4280758,-76.5380324,Gastronomía y bebidas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Hotel Ms Castellana,hotel,0.93,3.42807547,-76.5376383,Alojamiento,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Hotel Castellana Real,hotel,0.97,3.42798282,-76.53755728,Alojamiento,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Restaurante Ambrosia Caleña,hotel,0.52,3.42794012006016,-76.53756050308806,Alojamiento,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
"Jonathan Vega, OD - Especialista en Endodoncia",endodontist,0.63,3.4320316251297,-76.537671089172,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Consultorio odontológico MR Dra. Mariana Rojas,general_dentistry,0.57,3.43199105,-76.53766217,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
La Cocina De Martina,restaurant,0.6,3.4323957512585,-76.5376496315,Gastronomía y bebidas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Eventos Ipus,event_planning,0.61,3.4323275844769108,-76.53763617665474,Cultura y entretenimiento,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
