nombre,categoria,confianza,lat,lon,macrocategoria,fecha_extraccion,poligono,fuente,momento,release_overture
Escuela Vallecaucana de Ventas EVAV,college_university,0.66,3.42763,-76.53844,Educación y formación,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Argenius Peluquería Y Spa,barber,0.54,3.4260405,-76.53842746,Gastronomía y bebidas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
templete gourmet,restaurant,0.6,3.42541082,-76.53840313,Gastronomía y bebidas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
La Tasca del Sur,restaurant,0.44,3.42588807,-76.53837569,Gastronomía y bebidas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Vitalys Company Sas,eat_and_drink,0.37,3.42758335,-76.53832191,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
DUANA - REY DAVID,hospital,0.77,3.42680991071358,-76.5383194934314,Salud y bienestar,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
La CuadriArepa,restaurant,0.62,3.42606061,-76.53828526,Gastronomía y bebidas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Pikos Pizza en kono y,pizza_restaurant,0.62,3.42619741,-76.5382379,Gastronomía y bebidas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Seven and Seven Uniformes,uniform_store,0.53,3.42739572,-76.53820218,Comercio y tiendas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Akemi Uniformes,clothing_store,0.33,3.42736768,-76.53817646,Comercio y tiendas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Exilion Ropa Deportiva,sports_wear,0.28,3.42628,-76.53814,Deporte y recreación,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Iglesia Remanente Cali,church_cathedral,0.75,3.4270837798648,-76.538121700287,Religioso,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Matizz Clínicas Odontológicas,dentist,0.77,3.4271222779598207,-76.53807253073083,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
HENAO´S Barberia y Centro de Belleza,barber,0.63,3.42646221,-76.53801509,Gastronomía y bebidas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Tienda Expoemprendedores,shopping_center,0.11,3.42671593,-76.53799717,Comercio y tiendas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Rucafe,yoga_studio,0.47,3.42560964,-76.5379941,Educación y formación,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Cafe Piazzolla Cali,community_services_non_profits,0.67,3.42564271,-76.53791961,Comunitario e institucional,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Escuela de Tango Piazzolla,dance_school,0.58,3.42558703,-76.5378998,Educación y formación,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Outlet Joyas En Acero,jewelry_store,0.08,3.42637115,-76.53786024,Comercio y tiendas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Oro Export,jewelry_store,0.23,3.42694864,-76.53783264,Comercio y tiendas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Floristeria Bosques del Libano,flowers_and_gifts_shop,0.5,3.42600992,-76.53778285,Comercio y tiendas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Health and Fitness Store,active_life,0.32,3.42613075,-76.53771537,Deporte y recreación,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Eventos Continental,event_planning,0.45,3.42749967,-76.53766138,Cultura y entretenimiento,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Servicios Empresariales MSM,occupational_safety,0.28,3.42758763,-76.5375813,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Centrosur Plaza,shopping_center,0.97,3.42705536,-76.53738978,Comercio y tiendas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Sucursal Bancolombia,bank_credit_union,0.77,3.426983,-76.537376,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
INTIMA LILI PINK CALI SUR PLAZA,sin_categoria,0.77,3.4269622901459997,-76.53735116501235,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Liga Vallecaucana de Beisbol,community_services_non_profits,0.29,3.42681557,-76.53734191,Comunitario e institucional,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Motel Ibiza,hotel,0.58,3.42745,-76.53733,Alojamiento,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
Nutrabiotics,pharmaceutical_companies,0.6,3.42680299,-76.53731872,Otros,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
GEF,clothing_store,0.36,3.42682586,-76.53731888,Comercio y tiendas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
A. Closets Modulares de Occidente,furniture_store,0.55,3.42710669,-76.53726918,Comercio y tiendas,2026-05-12,Av. Roosevelt - Buffer 100m,Overture Maps Foundation,linea_base_pre_intervencion,2026-04-15
